id,type,text1,text2,text3,text4,notes
vic_kobal,SHIP,"VIC-B19 ""Kobal"" - ""Killing Joke"" was an early testbed for VIC's Adaptive Assault Configuration system, later seen in the Samael and Thamuz classes. Noticing that standard Accelerated Ammo Feeder and High Energy Focus systems were ill-suited to the hybrid mounts dominating Volkov design doctrine. The Adaptive Assault Configuration is essentially both systems fused together with a single power source between them, to which energy is automatically allocated based on the ship's equipped weapons. Efficiency is lost, however, when weapons are split between ballistic and energy types.

Classified as a heavy frigate, the Kobal-class is powerfully armed, and has the structural integrity to fire its weapons without shaking itself apart while its system is active. It lacks, however, any point defense weaponry, making it vulnerable to attack craft and flanking enemies. This particular oversight became extremely obvious in the first half of the Cloud Wars between VIC and the Dassault-Mikoyan Engineering, with hundreds of the Conglomerate's pilots falling victim to the nimble white-blue fighters. ",,,,
vic_xaphan,SHIP,"VIC-A01 ""Xaphan"" - ""Diabolical Stoker,"" an aggressive ship with a long history that has undergone several significant alterations throughout its service to the Conglomerate. Embodying the entire essence of the military doctrine of the megacorporation (fragile aerodynamic body, powerful shield and flux dissipation systems, high maneuverability and concentrated frontal firepower), Xaphan is currently one of the most mass-produced vessels of the VIC and often takes the spotlight in numerous air parades.

Like the Kobal-class before it, Xaphans are lacking in point defense. The increased stress from ""Hellfire"" weapons system doubles their logistical cost to install, thus it only has the space to fit smaller weapons. While this may seem a detriment, many of the weapons it can mount may double as point defense solutions, and its drastically increased agility makes outflanking a much less meaningful threat. When its engines do not provide enough of a kick on their own, pilots can use the onboard Omni-Lunge to dodge heavy incoming fire or to chase down an enemy.",,,,
#destroyers,,,,,,
vic_jezebeth,SHIP,"VIC-C96 ""Jezebeth"" - ""The Queen of Lies"" has a deceptively destructive arsenal at its disposal. Inspired by the late-Domain Sunder, Jezebeths were an attempt to play even further into their strengths. Slightly faster, but noticeably less agile and frailer, the Jezebeth-class is the definition of a glass cannon and is one of the favourites among the Aerospace Corps' middle officer ranks, many of which prefer to stay behind the frontlines and let their subordinates do the heavy lifting instead. 

The Jezebeth project almost hit a dead end when VIC aerospace engineers realized that, unlike the earlier Samael-class, Jezebeths wouldn't have the structural integrity to handle the Adaptive Assault system, especially with its upsized armaments. Fortuitously, clandestine Volkov efforts were able to ""recover"" an intact Afflictor-class phase frigate around this time. While the phase cloak technology itself would go into the Nybbas project, the modified phase coil array proved to be possible to mount to the Jezebeth prototype hull--much too small to bring the destroyer into p-space, however. The Entropy Amplifier serves much the same role as a damage-increasing system, but causes much less strain on the hull. Removing the Adaptive Assault system allowed them to upscale the integrated drone bay to a full-sized modular wing bay, dramatically increasing its potential versatility. The resulting hull is among the most dangerous in the sector for its deployment cost.",,,,
vic_samael,SHIP,"VIC-B49 “Samael” - “Angel of Death” is a heavier model of a destroyer created out of necessity after admirals noticed the Moloch’s lack of staying power while holding a battleline. The Samael, in comparison to its much more agile peer, boasts improved armor plating, wider shield angles, superior point defense suite and wider turret firing angles to allow for better engagement of multiple threats. 

Further playing into this, VIC engineers replaced the Moloch's Omni-Lunge--much more suited to aggressors and flankers--with the newer Adaptive Assault Configuration, adapted from the Kobal. While its forbear hull had a notable weakness to enemy strike craft, the Samael-class is capable of mounting a full array of point defense weaponry.

Despite Samael's relatively simple design, the engineers involved in its creation kept claiming that the process was, quote, ""as messy as Mr. Volkov's favourite hairstyle"", and involved failing deadlines, a significant amount of crunches and possibly even some abuse of psycho-stimulating substances in dire moments of designing crisis. ",,,,
vic_moloch,SHIP,"VIC-A33 ""Moloch"" - ""Bull King,"" a strikingly aggressive destroyer, set the standard for all Volkov Industrial Conglomerate hulls to come, mainly the now-mandatory atmo-travel solutions. The first 100% in-house design manufactured by the newly acquired Karzenlicht Luft-Raum Inc., the Moloch-class also introduced the Omni-Lunge system. While it was designed to fly in atmosphere, the aerospace division worried that, if it were forced to land, lift surfaces alone would be insufficient for it to take off, especially with the unlikelyhood of ground terrain being suitable for takeoff. They thus reinforced the maneuvering jets and introduced additional fuel for an afterburner-like effect, similar to plasma jets but with an omnidirectional effect, making the craft VTOL-capable.

Combat crews quickly realized the utility of the Omni-Lunge system in the battlespace, drastically increasing the ship's evasive and pursuit abilities, and their respectable weapons complement make them a credible threat. Molochs are nimble and aggressive; though they lack any rear-facing point defense, few ships are able to outmaneuver them to capitalize on this.

In addition, it was with the Moloch that the long history of the (in)famous Aerospace Corps began. While the Conglomerate's pilots serve as one of the main tools of corporate propaganda and are righteous heroes in the eyes of the public, other departments treat them with thinly-veiled irritation, if not outright contempt. ""Head in the clouds"" - this saying is too well suited to the Aerospace Corps, as their fame-induced pride, arrogant self-centred bravado, and cocky attitudes often get the better of them.",,,,
#cruisers,,,,,,
vic_cresil,SHIP,"VIC-C67 ""Cresil"" - ""The Creeping Corruption,"" one of the oldest Volkov hulls still in service, is dependable enough to remain VIC's primary carrier. Predating the ""aerodynamic design"" doctrine, the Cresil-class, through the installation of viral containment systems, is perhaps much more dangerous to a planet than any atmosphere-capable warship ever could be. The leading project engineer of the time, Miro Honda, regarded Cresil as ""a big step in planetary suppresion methods"", while the secure refrigeration vaults necessary to carry their deadly cargo have given these ships a nickname some employees have complained is problematic and highly inappropriate - ""Ice Cream Trucks"".

Though rumors of viral bombardment ships have led to some enemies of the Conglomerate to conclude that Cresils are logistics ships, nothing could be further than the truth. Despite their weak hulls and subpar flux reactor, Cresils project death just as well as any mainline warship through their extensive modular flight decks. In terms of carrier capacity, the Cresil-class matches the venerable Legion. Fearing their relative fragility, however, Cresils have the ability to recall their wings to defend their mothership, meaning a Cresil is never truly alone.",,,,
vic_thamuz,SHIP,"VIC-B62 ""Thamuz"" - ""Ambassador of Heavy Arms,"" created shortly after the Samael's completion, was VIC aerospace's attempt to supplant the ubiquitous Dominator-class heavy cruiser. Though the Domain admiralty was unimpressed at the time, preferring swifter and more versatile cruisers, the Thamuz-class would quickly prove its worth within Volkov fleets as an implacable dealer of death, the mere rumour of which is enough to make would-be raiders think twice. Though it can't output quite as many missiles as a Dominator and its hull is admittedly weaker, its modern flux reactor, powerful shields, and triple complement of large hybrid weapon mounts make it a force to be feared and reckoned with.

As one of the slowest of all VIC ships, Thamuz, created in an attempt to radically reimagine the established doctrine, has a rather controversial reputation. Scorned by many Conglomerate captains for its awkwardness and clumsiness, heavily armoured Thamuz is nevertheless best at performing where brute force is needed. A powerful Karzenlicht Luft-Raum Inc. fifth-generation reactor, an arsenal capable of competing even with the firepower of far bigger battleships, as well as enhanced protection of the crew quarters make this heavy cruiser a surprisingly comfortable vessel, a flight of which significantly strengthens the formation of modern Conglomerate fleets.",,,,
vic_valafar,SHIP,"VIC-A58 ""Valafar"" - ""The Hunting Lion,"" designed to fill the fast assault role so popular among Volkov admirals, is a simple and brutal warship. Its large spinal hardpoint gives it crushing jaws, and its Omni-Lunge system gives it a deadly pounce. With a supplementary missiles and a solid point defense grid, the Valafar has no real weaknesses to be exploited. As a so-called Shturmcruiser, it is expected to face near the heaviest engagements of any Volkov vessel. As fast as an Aurora, it is easily capable of hunting down destroyers and ripping them to shreds.

Despite its chubby appearance, caused by the need to install a powerful propulsion system (a decision lobbied by the younger, far more vigorous generation of officers), Valafar has won the love of the Conglomerate's crews from the very start of production for its agility in space and amazing smoothness in piloting even in a thick atmosphere. A special kind of entertainment for the pilots was (and still is) flying over enemy positions without using weapons, since the sound wave from the cruiser rushing right above the surface is enough to leave a furrow a couple of dozen meters deep, not to mention the damage to the surrounding infrastructure and the deadly effect on living organisms in the vicinity. Such provocative displays of meaningless brutality are criticized by the higher ranking officers, but in most cases no repercusions are followed.",,,,
vic_focalor_m,SHIP,"VIC-M12MRS ""Focalor"" - ""The Rabid Griffin,"" a versatile twin-configuration combat vessel, this version of which focuses on medium-range missile armament. Relatively low armor protection is compensated by unsurpassed strike potential and impressive mobility, while a powerful built-in weapon is able to effectively keep enemy forces suppressed for a long time.

Known for its mind-boggling missile arsenal and an intimidating prow autocannon, Focalor is an indispensable participant in any Conglomerate planetary operation. The elegant design provides high maneuverability even in the densest of atmospheres, and the powerful armament allows it to easily destroy entire residential areas and extensive fortified areas in a span of minutes. Earning its nickname due to frequent cases of friendly fire, which occur both due to the inaccuracy of the main autocannon and an abundance of trigger-happy gunners, Focalor and its crews often become the victims of particularly strong hatred from the Ground Operations Corps.

Along with Oriax, Focalor was one of the first ships converted from the exploratory vessels of Frontier Dynamics into a tool of war under the commission of the Domain Navy, as the government's bail-out noose around the neck of the bankrupt corporation tightened more and more. Despite the protests of designers and engineers who did not want to participate in the creation of weaponry for the Domain, the project still proceeded to completion, and only a few months later brand-new Focalors took their first bloody part in the suppression of pirate legions and rioting colonies, where they proved their unexpected effectiveness and started earning their grim reputation.",,,,
vic_focalor_l,SHIP,"VIC-M12LRS ""Focalor"" - ""The Rabid Griffin,"" a versatile twin-configuration combat vessel, this version of which focuses on long-range support. Relatively low armor protection is compensated by a strong mix of large armament and fighter bays in combination with impressive mobility, while a powerful built-in weapon is able to effectively keep enemy forces suppressed for a long time.

Known for its oppressive loadout and an intimidating prow autocannon, Focalor is an indispensable participant in any Conglomerate planetary operation. The elegant design provides high maneuverability even in the densest of atmospheres, and the powerful armament allows it to easily destroy entire residential areas and extensive fortified areas in a span of minutes. Earning its nickname due to frequent cases of friendly fire, which occur both due to the inaccuracy of the main autocannon and an abundance of trigger-happy gunners, Focalor and its crews often become the victims of particularly strong hatred from the Ground Operations Corps.

Along with Oriax, Focalor was one of the first ships converted from the exploratory vessels of Frontier Dynamics into a tool of war under the commission of the Domain Navy, as the government's bail-out noose around the neck of the bankrupt corporation tightened more and more. Despite the protests of designers and engineers who did not want to participate in the creation of weaponry for the Domain, the project still proceeded to completion, and only a few months later brand-new Focalors took their first bloody part in the suppression of pirate legions and rioting colonies, where they proved their unexpected effectiveness and started earning their grim reputation.",,,,
vic_stolas,SHIP,"VIC-A100 ""Stolas"" — ""Starwalker,"" — a masterpiece of Conglomerate naval engineering, combining a multitude of exotic technologies in a single package. A destroyer’s swiftness with the power of a battleship in its frontal arsenal—in the hands of the aces for whom it was created, Stolas rules the skies and stars, leaving behind only the melted wreckage of those unlucky enough to fall under its blitz. 

The Stolas started as a costly testbed for experimental tech, designed for parades and showcases rather than actual battles. The Collapse irreversibly altered the circumstances that allowed for such a vessel, leading the Conglomerate to drastically and urgently rework their more expensive vessels into actual warships - despite the board’s initial hesitation, said revision did pay out. The aces of the Aerospace Corps were delighted to finally use their vaunted showpiece to dominate the battlefields, while the Central Design Bureau were able to toast to the successes of their brilliant creation. No longer a display piece to sell to the Domain, the Stolas serves a much more important purpose — to help Humanity walk through the cruel starry expanses to its inevitable Liberation.

The initiative to create an “exclusive” vessel for aces received initial pushback even from the majority of pilots in the Aerospace Corps itself. As they saw it, the gap between the rest of the members and the “upper caste” was already beyond all reason, and access to unique technology would only further aggravate the divide. The reality of life for ace pilots, however, is quite different from the glorious story sold to the public and to ordinary pilots; grueling physical and mental training, heavy use of dangerous combat stimulants, and extensive genetic modifications are but a small part of what those who catch the eyes of Academy leadership have to endure. And although the aces had been particularly infamous for their arrogance and bloodlust almost since the Corps’ foundation, it's after the c+180s, that something else began to change within their ranks, as their crews have recently began to note a particularly unhealthy fervor in battle and almost suicidal tendencies among their idols, whose eyes had never shone so brightly and zealously before.

",,,,
#capitals,,,,,,
vic_apollyon,SHIP,"VIC-A71 ""Apollyon"" - ""The Destroyer,"" a shining symbol of VIC's aerospace engineering, an unusually mobile capital ship for its significant size, equipped with just enough weaponry to obliterate entire enemy fleets on its own. However, due to the design being focused on raw offense and speed, the Apollyon lacks capital-grade armour and is incapable of withstanding focused enemy attacks, even with the help of a powerful shield generator.

Conceived out of spite towards Tri-Tachyon and with the goal of overthrowing the Paragon's reign in the Domain's Navy, the Apollyon project ended up being one of the most ambitious and expensive endeavours in Conglomerate history, with the developement costs nearing the price of a couple of outback planets combined. Unsurprisingly, most of the time and budget were spent on calculating how to apply jet-fighter principles to the hull of such size.

Unfortunately for VIC, and despite all their efforts, the project still didn't manage to make its way into the Navy. The main reason for that - the Collapse happening right in the middle of Apollyon's first official presentation, mere seconds after the prototype turned a Paragon test target into a melted metallic mess to the thunderous applause of the Admiralty's officials. 

To the great delight of the surviving Central Design Bureau, the project wasn't scrapped after the Collapse and eventually entered mass production to serve both as VIC's most potent assault vessel and as one of its main propaganda tools. Nowadays the imposing Apollyon-class shturmcapitals proudly roam the Sector at the head of the Conglomerate's fleets, both playing the role of a compelling argument during numerous diplomatic negotiations and truly living up to their old biblical name in battles. ",,,,
vic_oriax,SHIP,"VIC-U61 ""Oriax"" - ""The Changebringer,"" a highly versatile battlecruiser, counter to the Conglomerate's usual doctrine of extreme specialization. The balanced performance and the ability to install a wide variety of ordnance and fighter systems allows them to successfully integrate into any type of flotilla and serve as a ""binding base"" that allows other ships to unleash their full combat potential in any situation.

A ship with an unusual history, the Oriax was originally created for the predecessor of VIC - the ""Frontier Dynamics"" company. Bearing the name ""Jaeger,"" the ship - conceived as a civilian vessel - was intended to explore the Domain's borderlands, collecting information about potential threats and planets of colonization value. Before the fateful split between the founders of the corporation, the ship managed to pass only the initial blueprinting stage, and was never approved for manufacture. 

After the Domain Navy issued contracts for the development of new warship designs, which VIC lacked at the time. The Central Design Bureau began to review the archival databases in search of suitable projects, so as not to waste time on the first stages of development process. The long-forgotten ""Jaeger,"" distinguished by its ergonomics  and versatility, turned out to be the ideal candidate.

The ship, initially created for peaceful exploration and colonization, was reborn as a full-fledged combat vessel, to be put at the forefront of the expansion fleets. The swift and fearsome Oriax, being able to adapt easily to various threats, were among the first to emerge from the new Gates, dragged forth into the void by the Gate Haulers, bringing the Domain's knowledge and will to yet independent worlds.

Of course, they all had a choice: the choice to accept the new order or perish. Perishing, however, doesn't always come from the smoking barrel of a Domain Battlegroup; occasionally, in exchange for some personal ""services"" and ""products,"" the Domain would grant the Conglomerate permission to deal with the resistance at its own discretion.",,,,
vic_raum,SHIP,"VIC-UH05 ""Räum"" - ""The Ruinous Crow"", an unorthodox battleship with a unique set of artillery weaponry and a distant relation to the reputable Oriax design. Evolved from a weapon testing platform into a proper war vessel in the late pre-Collapse period, it proudly bears its distinguishing mark right on its robust spine. Its Ultra-Heavy armament, although limiting the ship's overall versatility, provides in exchange unparalleled firepower, while the mere sight of planetary defense grade weaponry on the battlefield may strike fear in the hearts of inexperienced enemy officers. 

As the eons-long armsrace between offense and defense schools kept raging amidst the Domain Navy and its contractors, some of its players conceived the plan to put a fine point on it, at least for the foreseeable future of course. To install the largest available weapon systems which no modern and even potential protective measures would work against onto a spaceship and to make it actually work without stalling or spontaneously exploding - the sheer audacity of the concept provided many sleepless nights to the over-ambitious admirals, dreaming about such a magnificent vessel. 

Sensing the possibility of profit, the Conglomerate eagerly volunteered for the project lead post. Despite the loss of trust from certain ruling parties by the time, the megacorp acquired the contract, as the Central Design Bureah has long accumulated a list of sufficiently successful creations for the Navy. Exploiting the fortunate situation to fine-tune and test their new tools of destruction, VIC has set to work. While the number of re-iterations of the vessel's blueprints kept climbing almost to triple digits in futile attempts to fully stabilize the energy grid and to protect the ship's own crew from the aftershocks during fire, the Navy's investigatory departments got interested in whether the whole ordeal wasn't just a massive and convoluted credit-laundering operation between the megacorp and the suspected members of the admiralty. Ultimately, that didn't prevent the finalisation of the project, yet the litigations and numerous media blunders followed by high-profile resignations from both parties didn't leave the ship more than a year of active service before the Gates system fell. Among its feats during that period were forcing an entire raider spacestation to surrender and resolving a long-running riot problem on a mining colony, both times without a single shot, and even today the menacing battleships see more campaigns of intimidation, rather than of actual combat, much to their crewmembers relief. ",,,,
#unique,,,,,,
vic_stolas_bounty,SHIP,"The flagship of the barbaric pirates' leader. Hidden under the scarred slabs of surprisingly well attached armor and ingeniously replaced parts is a highly sophisticated ship battered with time and warring. It is a miracle that this machine still works in its current form and even manages to outperform your engineers' expectations. Tucked away in its bowels is a set of easily replaceable prow weapons, providing this abomination of a vessel with some extra combat versatility.

More of a walking dead than a proper ship at this point. The insides are a chaotic mess, with entire sections being replaced with older and bulkier elements to keep the systems going. Despite the degraded perfomance and extreme heat and energy outbursts during use, it still keeps going despite everything, as if refusing to stop the carnage started by its original owner. Even the non-superstitious grimly joke about the ship being possessed, and mutilated remains of civilians and various spacers removed from the deep technical compartments do not help the situation. The bridge and living quarters show signs of extensive gunfighting, while the captain's cabin is almost fully covered in unintelligible scribbles and child-like drawings. ",,,,
vic_raum_bounty,SHIP,"A monster, a ""royal palace"", and a mobile base of operations, - this poor Räum-class capital was heavily retrofitted by pirates under the command of ""Rude King"" Fitzroy. As the amount of received damage and additional armor grew over time, so did diminish the reactor's energy output. Eventually, the power systems of the ship could no longer support the original weaponry and engines, and so even they had to be replaced. Luckily, by that time the crew already had enough experience with this mess of a space vessel to make the replacements efficient enough, and so the ever-fearsome Raumpant continues its journey through the void, spreading awe and terror across the Core Worlds, and wild tales across the bars. 

Drunken rumours say that it took at least several Colossi and an unspecified amount of work casualties to finish the work on the ship, and a thorough inspection can indeed point towards such conclusions. The amount of replaced or haphazardly modified parts is absolutely staggering, as even the fighter forge-vats had to be removed, with the large weapon emplacements put into their place as to both ease off the load on a degraded reactor, and to provide more frontal firepower, as is always the tradition among the majority of the ""free peoples"". As the original ultraheavy weaponry was no longer supportable either, to fund further repairs and modifications it was all sold off on the black market, now presumably being used to protect some other warlord's backyard, or taken apart and studied by the VIC's competitors. Unsatisfied by the fact of the forge removal, a brand ""new"" one was ingeniously installed into the stern of the ship, to the delight of the pilots now able to stylishly skim the engines' plumes on every single take-off.

Other modifications included, but not limited to: a training polygon and a shooting range in cargo holds; a mini-zoo for xenofauna and, occasionally, particularly bothersome prisoners; extra weapon emplacements on the main wings; an extra set of escape shuttles for the crew; gold-plated internal coating for the main bridge area; and a sprawling hot jacuzzi pool in the former weapon control unit behind the bridge, heated up by the the primary power highway stretching from the reactor to the main spinal armament area. ",,,,
,,,,,,
#Ship Systems,,,,,,
vic_quantumlunge,SHIP_SYSTEM,"Propels the ship forward, ignoring collission with ships, projectiles and other obstacles. After movement is finished, releases a beam behind the ship, dealing damage to all non-allied entities. Lunge reignites the engines and can be canceled at any time.",Special,"Propels ship forward, ignoring collission with ships, projectiles and other obstacles. After movement is finished, releases a beam behind the ship, dealing damage to all non-allied entities. Lunge reignites the engines and can be canceled at any time.",,
vic_adaptiveassault,SHIP_SYSTEM,"Temporarily increases ballistic and energy weapons' damage by 50%, but also increases the damage taken by shield by 25%.

The Volkov Industrial Conglomerate found that neither the High Energy Focus nor the Accelerated Ammo Feeder ship systems were desirable for their hybrid-mount-focused hulls. Their solution was to install a dedicated AI core (with the specifications fitting into the requirements enforced by the Domain's laws) the sole purpose of which would be to analyse the targets around the ship and detect the weakpoints in their shield matrix and armour. Unfortunately, the sheer amount of data and calculations required for the process to be complete limits the time during which the AI core is active, and the energy cost of the analysis gets so high that shields has to be partially powered down. Furthermore, each time the system is initiated, the core quickly goes into overheat and has to be shut down for cooling to avoid total meltdown of its internals.",Offensive,"Temporarily increases ballistic and energy weapons' damage by 50%, but also increases the damage taken by shield by 25%.",50% | 25%,
vic_emergencyDefense,SHIP_SYSTEM,Temporarily forces all fighters to Regroup mode and substantially increases their combat effectiveness.,Defensive,Temporarily forces all fighters to Regroup mode and substantially increases their stats.,,
vic_DriftBoost,SHIP_SYSTEM,Allows the ship to make a rapid dash into any desired direction.,Movement,Allows the ship to make a rapid dash into any desired direction.,,
vic_quantumteleporter,SHIP_SYSTEM,The ship instantly teleports to any desired nearby location.,Movement,The ship instantly teleports to any desired nearby location.,,
vic_shockDischarger,SHIP_SYSTEM,"Passively absorbs the flux of the ship and nearby vessels, on activation discharges the accumulated energy against the target or random enemy vessels in the vicinity of the ship.",Offensive,"Consumes the ship's and nearby vessels' flux, then discharges the accumulated energy against the target or random enemy vessels in the vicinity of the ship.",,
vic_defenceSuppressor,SHIP_SYSTEM,"Worsens the target's shield efficiency and upkeep by 50%, increases cloak activation cost, upkeep and cooldown by 50%, decreases armour efficiency by 50% and armour max damage reduction by 7.5%. Multiple instances stack the time of the effects.",Offensive,"Worsens the target's shield efficiency and upkeep by 50%, increases cloak activation cost, upkeep and cooldown by 50%, decreases armour efficiency by 50% and armour max damage reduction by 7.5%. Multiple instances stack the time of the effects.",50% | 50% | 50% | 7.5%,
vic_mineLayer,SHIP_SYSTEM,Launches several proxy fused frag mines.,Defensive,Launches several proxy fused frag mines. Each mine deals 200 frag damage.,200 frag,
vic_shieldHardening,SHIP_SYSTEM,"Redirects the ship's energy to harden shields. Reduces shield damage taken by %, but reduces weapons' rate of fire by %. At above % flux begins using secondary energy pool to further improve the shield's capabilities.

With the integrated AI core's data output switched to a more defensive purpose, the shields are dynamically changed based on the core's calculations, with the energy of the matrix redirected momentarily to the points of strongest impacts. While the core is online, a certain amount of power from the weapon systems has to be drained, but at least the crew doesn't have to worry about the core melting down from constant work, unlike in the offense-focused version of the ship.",Defensive,"Redirects the ship's energy to harden shields. Reduces shield damage taken by 50%, but reduces weapons' rate of fire by 25%. At above 50% flux begins using secondary energy pool to further improve the shield's capabilities.",50% | 25% | 50%,
vic_flareLauncher,SHIP_SYSTEM,,Defensive,Launches flares that distract the guidance systems of incoming missiles and PD weapons. Any missile hitting a flare will be destroyed. Holds up 2 charges and has long reacharge time.,,
vic_radarArray,SHIP_SYSTEM,"Temporarily improves the mobility of missiles and fighters, and makes the Azhdaya autocannon's projectiles home onto the enemies.",Offensive,"Temporarily improves the mobility of missiles and fighters, and makes the Azhdaya autocannon's projectiles home onto the enemies.",,
vic_hunterDrive,SHIP_SYSTEM,Dramatically accelerates the ship forward. Deactivation results in a powerful EMP pulse. The acceleration can be deactivated prematurely. Destroying the ships affected by the pulse recharges the system. ,Offensive,Dramatically accelerates the ship forward. Deactivation results in a powerful EMP pulse. The acceleration can be deactivated prematurely. Destroying the ships affected by the pulse recharges the system. ,,
vic_zealotDrive,SHIP_SYSTEM,"""Have no fear. Have no mercy. For our path is of blood and fire.""",Offensive,"""Have no fear. Have no mercy. For our path is of blood and fire.""",,
vic_pirateBurn,SHIP_SYSTEM,"""Full speed ahead! Let's show 'em wankers what we're made of!""",Offensive,"""Full speed ahead! Let's show 'em wankers what we're made of!""",,
vic_raumSiege,SHIP_SYSTEM,Switches from and to artillery mode which increases range and maneuverability in exchange for speed and rate of fire. Provides extra effects for a short time on each switch.,Offensive,Switches from and to artillery mode which increases range and maneuverability in exchange for speed and rate of fire. Provides extra effects for a short time on each switch.,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#Weapons,,,,,,
vic_heavylaidlawaccelerator,WEAPON,"A slow-firing but accurate weapon that deals devastating damage to hulls near-instantaneously, although it struggles against shields and heavy armour. Explosive expansion of searing plasma on impact can easily scorch secondary targets nearby. Despite the addition of ""heavy"" to its name, the Heavy Laidlaw Accelerator was actually the first such weapon developed, when the Conglomerate faced the need for a powerful weapon system that could easily chew through exposed ship hulls.

Iconic Laidlaw weapons use the so-called ""Laidlaw Effect,"" a Volkov trade secret, to accelerate projectiles to a greater degree than other forms of linear motors, such as coil or railguns. The process has a side-effect of turning a solid metallic projectile into a stream of superheated plasma. Hypervelocity impacts can evaporate large chunks of hull, the explosive burst of which causes additional destruction. Created by ""The Father of VIC tech"", Ernesto Laidlaw, these weapons are used ubiquitously by the Conglomerate, with their sizes ranging from handheld pistols and rifles to enormous planetary siege cannons. ",,,,
